status,pages,chars,engine,pdf_path,txt_path,message
skipped,0,108116,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\001 - Chapter 1- Introduction to Indian Accounting Standards - 74883bos60524-cp1.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\001 - Chapter 1- Introduction to Indian Accounting Standards - 74883bos60524-cp1.txt,up to date
skipped,0,170603,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\002 - Chapter 2- Conceptual Framework for Financial Reporting under In.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\002 - Chapter 2- Conceptual Framework for Financial Reporting under In.txt,up to date
skipped,0,179544,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\003 - Unit 1- Ind AS 1 “Presentation of Financial Statements” - 74885bos60524-cp3-u1.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\003 - Unit 1- Ind AS 1 “Presentation of Financial Statements” - 74885bos60524-cp3-u1.txt,up to date
skipped,0,80695,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\004 - Unit 2- Ind AS 34 “Interim Financial Reporting” - 74886bos60524-cp3-u2.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\004 - Unit 2- Ind AS 34 “Interim Financial Reporting” - 74886bos60524-cp3-u2.txt,up to date
skipped,0,138281,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\005 - Unit 3- Ind AS 7 “Statement of Cash Flows” - 74887bos60524-cp3-u3.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\005 - Unit 3- Ind AS 7 “Statement of Cash Flows” - 74887bos60524-cp3-u3.txt,up to date
converted,50,130044,pymupdf,"C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\006 - Unit 1- Ind AS 8 “Accounting Policies, Changes in Accounting Estimates and Errors” - 74888bos60524-cp4-u1.pdf","C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\006 - Unit 1- Ind AS 8 “Accounting Policies, Changes in Accounting Estimates and Errors”__5d92f36423.txt",
skipped,0,87227,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\007 - Unit 2- Ind AS 10 “Events after the Reporting Period” - 74889bos60524-cp4-u2.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\007 - Unit 2- Ind AS 10 “Events after the Reporting Period” - 74889bos60524-cp4-u2.txt,up to date
skipped,0,92581,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\008 - Unit 3- Ind AS 113 “Fair Value Measurement” - 74890bos60524-cp4-u3.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\008 - Unit 3- Ind AS 113 “Fair Value Measurement” - 74890bos60524-cp4-u3.txt,up to date
skipped,0,399063,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\009 - Chapter 5- Ind AS 115 “Revenue from Contracts with Customers” - 74891bos60524-cp5.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\009 - Chapter 5- Ind AS 115 “Revenue from Contracts with Customers” - 74891bos60524-cp5.txt,up to date
skipped,0,98882,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\010 - Unit 1- Ind AS 2 “Inventories” - 74892bos60524-cp6-u1.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\010 - Unit 1- Ind AS 2 “Inventories” - 74892bos60524-cp6-u1.txt,up to date
